CNPJ,Nome,Nome_Curto,Codigo_CVM,Ticker
12.648.327/0001-53,HIDROVIAS DO BRASIL S.A.,Hidrovias do Brasil,22675,HBSA3
40.159.947/0001-64,HMOBI PARTICIPAÇÕES S.A,Hmobi Participações,25674,HMOB3
16.676.520/0001-59,HOSPITAL MATER DEI S.A.,Mater Dei,25690,MATD3
33.200.049/0001-47,HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL,Hotéis Othon,6700,"HOOT3, HOOT4"
02.932.074/0001-91,HYPERA S/A,Hypera,21431,HYPE3
08.159.965/0001-33,IGUA SANEAMENTO S.A.,Igua Saneamento,23175,IGSN3
60.543.816/0001-93,IGUATEMI S.A.,Iguatemi,8672,"IGTI3, IGTI4, IGTI11"
09.611.768/0001-76,INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.,Inc Empreendimentos Imobiliários,24279,INNC3
82.901.000/0001-27,INTELBRAS S.A. IND. DE TELECOMUNICAÇÃO ELETRÔNICA BRASILEIRA,Intelbras,25453,INTB3
17.314.329/0001-20,INTERNATIONAL MEAL COMPANY ALIMENTAÇÃO S.A.,IMC Alimentação,23574,MEAL3
61.156.113/0001-75,IOCHPE MAXION SA,Iochpe-Maxion,11932,MYPK3
92.791.243/0001-03,IRANI PAPEL E EMBALAGEM S.A.,Irani,2429,RANI3
33.376.989/0001-91,IRB - BRASIL RESSEGUROS S.A.,IRB Brasil RE,24180,IRBR3
02.998.611/0001-04,ISA ENERGIA BRASIL S.A.,ISA Energia,18376,"ISAE3, ISAE4"
61.532.644/0001-15,ITAUSA S.A.,Itaúsa,7617,"ITSA3, ITSA4"
02.635.522/0001-95,JALLES MACHADO S.A.,Jalles Machado,25496,JALL3
02.916.265/0001-60,JBS SA,Jbs Sa,20575,JBSS3
08.294.224/0001-65,JHSF PARTICIPAÇÕES SA,JHSF,20605,JHSF3
52.548.435/0001-79,JSL S.A.,JSL,22020,JSLG3
09.146.451/0001-06,KALLAS INCORPORAÇÕES E CONSTRUÇÕES S.A.,Kallas Incorporações E Construções,25798,KLAS3
91.983.056/0001-69,KEPLER WEBER SA,Kepler Weber,7870,KEPL3
89.637.490/0001-45,KLABIN S.A.,Klabin,12653,"KLBN3, KLBN4, KLBN11"
13.270.520/0001-66,KORA SAÚDE PARTICIPAÇÕES S.A.,Kora Saúde Participações,25879,KRSA3
26.462.693/0001-28,LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A,Lavvi Incorporadora,25062,LAVV3
03.378.521/0001-75,LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL,Light,19879,LIGT3
05.917.486/0001-40,LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.,Livetech Da Bahia Indústria E Comércio,25895,LVTC3
16.670.085/0001-55,LOCALIZA RENT A CAR SA,Localiza,19739,RENT3
09.041.168/0001-10,LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES,LOG CP,23272,LOGG3
42.278.291/0001-24,LOG-IN LOGISTICA INTERMODAL SA,Log-In,20710,LOGN3
96.418.264/0218-02,LOJAS QUERO QUERO S.A.,Lojas Quero-Quero,25038,LJQQ3
92.754.738/0001-62,LOJAS RENNER SA,Lojas Renner,8133,LREN3
08.078.847/0001-09,LPS BRASIL CONSULTORIA DE IMOVEIS S/A,Lopes,20370,LPSB3
89.463.822/0001-12,LUPATECH S.A.,Lupatech,20060,"LUPA3, LUPA11"
02.351.877/0001-52,LWSA S/A,Locaweb,24910,LWSA3
07.206.816/0001-15,M. DIAS BRANCO SA IND E COM DE ALIMENTOS,M. Dias Branco,20338,MDIA3
47.960.950/0001-21,MAGAZINE LUIZA SA,Magazine Luiza,22470,MGLU3
60.476.884/0001-87,MAHLE METAL LEVE S.A.,Mahle Metal Leve,8575,LEVE3
03.853.896/0001-40,MARFRIG GLOBAL FOODS SA,Marfrig Global Foods Sa,20788,MRFG3
61.189.288/0001-89,MARISA LOJAS SA,Lojas Marisa,22055,AMAR3
14.110.585/0001-07,MELIUZ S.A.,Méliuz,25232,CASH3
12.181.987/0001-77,MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.,Melnick,25119,MELK3
